10:59:00, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:59:25, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
10:59:50, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:00:15, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:00:40, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:01:05, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:01:30, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:01:55, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:02:21, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:02:46, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:03:11, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:03:36, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:04:01, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:04:26, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:04:51, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:05:16, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:05:41, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:06:06, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:06:31, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:06:57, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:07:22, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:07:47, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:08:12, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:08:37, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
11:09:02, 1 packets transmitted, 0 received, 100% packet loss, time 0ms, 10.162.10.250
